name,shape,dtype
amos_7014_0000,"(100, 192, 192)",uint8
amos_7017_0000,"(72, 290, 320)",uint16
amos_7018_0000,"(72, 290, 320)",uint16
amos_7029_0000,"(24, 192, 192)",uint8
amos_7030_0000,"(24, 176, 176)",uint8
amos_7031_0000,"(24, 176, 176)",uint8
amos_7032_0000,"(24, 192, 192)",uint8
amos_7033_0000,"(24, 288, 288)",uint8
amos_7034_0000,"(100, 192, 192)",uint8
amos_7035_0000,"(28, 250, 320)",uint16
amos_7036_0000,"(24, 320, 270)",uint16
amos_7038_0000,"(24, 352, 352)",uint8
amos_7039_0000,"(24, 576, 576)",uint8
amos_7040_0000,"(24, 576, 576)",uint8
amos_7041_0000,"(18, 576, 576)",uint8
amos_7042_0000,"(24, 176, 176)",uint8
amos_7043_0000,"(24, 176, 176)",uint8
amos_7044_0000,"(26, 320, 320)",uint16
amos_7045_0000,"(28, 320, 320)",uint16
amos_7048_0000,"(25, 192, 192)",uint8
amos_7049_0000,"(24, 224, 224)",uint8
amos_7051_0000,"(24, 256, 256)",uint8
amos_7052_0000,"(24, 320, 320)",uint8
amos_7053_0000,"(24, 256, 256)",uint8
amos_7054_0000,"(24, 320, 320)",uint8
amos_7055_0000,"(100, 176, 176)",uint8
amos_7057_0000,"(24, 256, 256)",uint8
amos_7058_0000,"(24, 288, 288)",uint8
amos_7059_0000,"(24, 336, 336)",uint8
amos_7060_0000,"(24, 256, 256)",uint8
amos_7062_0000,"(24, 256, 256)",uint8
amos_7063_0000,"(24, 320, 320)",uint8
amos_7064_0000,"(18, 224, 224)",uint8
amos_7065_0000,"(80, 192, 192)",uint8
amos_7067_0000,"(80, 192, 192)",uint8
amos_7068_0000,"(24, 256, 256)",uint8
amos_7070_0000,"(24, 224, 224)",uint8
amos_7071_0000,"(24, 320, 320)",uint8
amos_7072_0000,"(24, 256, 256)",uint8
amos_7075_0000,"(30, 294, 448)",uint16
amos_7077_0000,"(24, 256, 256)",uint8
amos_7078_0000,"(24, 256, 256)",uint8
amos_7079_0000,"(25, 224, 224)",uint8
amos_7080_0000,"(24, 320, 320)",uint8
amos_7082_0000,"(24, 176, 176)",uint8
amos_7083_0000,"(24, 336, 336)",uint8
amos_7085_0000,"(24, 384, 384)",uint8
amos_7086_0000,"(24, 256, 256)",uint8
amos_7087_0000,"(27, 384, 384)",uint8
amos_7088_0000,"(27, 256, 256)",uint8
amos_7092_0000,"(24, 240, 240)",uint8
amos_7093_0000,"(24, 352, 352)",uint8
amos_7096_0000,"(24, 192, 192)",uint8
amos_7098_0000,"(24, 256, 256)",uint8
amos_7099_0000,"(24, 192, 192)",uint8
amos_7101_0000,"(24, 336, 336)",uint8
amos_7102_0000,"(24, 240, 240)",uint8
amos_7104_0000,"(24, 352, 352)",uint8
amos_7105_0000,"(100, 176, 176)",uint8
amos_7106_0000,"(100, 176, 176)",uint8
amos_7112_0000,"(28, 320, 320)",uint16
amos_7114_0000,"(25, 224, 224)",uint8
amos_7115_0000,"(24, 256, 256)",uint8
amos_7117_0000,"(25, 224, 224)",uint8
amos_7118_0000,"(24, 256, 256)",uint8
amos_7119_0000,"(24, 320, 320)",uint8
amos_7121_0000,"(26, 256, 256)",uint8
amos_7122_0000,"(26, 256, 256)",uint8
amos_7123_0000,"(26, 384, 384)",uint8
amos_7125_0000,"(25, 224, 224)",uint8
amos_7126_0000,"(24, 384, 384)",uint8
amos_7128_0000,"(24, 256, 256)",uint8
amos_7129_0000,"(24, 256, 256)",uint8
amos_7130_0000,"(26, 384, 384)",uint8
amos_7134_0000,"(25, 224, 224)",uint8
amos_7135_0000,"(24, 256, 256)",uint8
amos_7136_0000,"(24, 256, 256)",uint8
amos_7137_0000,"(24, 256, 256)",uint8
amos_7138_0000,"(24, 384, 384)",uint8
amos_7139_0000,"(24, 250, 320)",uint16
amos_7140_0000,"(24, 250, 320)",uint16
amos_7141_0000,"(25, 224, 224)",uint8
amos_7142_0000,"(24, 256, 256)",uint8
amos_7143_0000,"(24, 288, 288)",uint8
amos_7144_0000,"(25, 240, 240)",uint8
amos_7146_0000,"(24, 256, 256)",uint8
amos_7148_0000,"(25, 224, 224)",uint8
amos_7150_0000,"(24, 224, 224)",uint8
amos_7151_0000,"(72, 290, 320)",uint16
amos_7152_0000,"(23, 320, 320)",uint16
amos_7153_0000,"(18, 320, 320)",uint16
amos_7154_0000,"(24, 320, 320)",uint16
amos_7155_0000,"(25, 176, 176)",uint8
amos_7156_0000,"(24, 240, 240)",uint8
amos_7158_0000,"(24, 256, 256)",uint8
amos_7159_0000,"(100, 192, 192)",uint8
amos_7160_0000,"(24, 576, 576)",uint8
amos_7161_0000,"(24, 320, 320)",uint16
amos_7162_0000,"(24, 250, 320)",uint16
amos_7163_0000,"(24, 250, 320)",uint16
amos_7165_0000,"(64, 290, 320)",uint16
amos_7166_0000,"(24, 320, 320)",uint16
amos_7168_0000,"(24, 576, 576)",uint8
amos_7169_0000,"(18, 576, 576)",uint8
amos_7170_0000,"(24, 256, 256)",uint8
amos_7172_0000,"(24, 256, 256)",uint8
amos_7173_0000,"(35, 250, 320)",uint16
amos_7174_0000,"(27, 256, 256)",uint16
amos_7175_0000,"(72, 290, 320)",uint16
amos_7176_0000,"(72, 290, 320)",uint16
amos_7177_0000,"(72, 290, 320)",uint16
amos_7178_0000,"(72, 290, 320)",uint16
amos_7179_0000,"(72, 290, 320)",uint16
amos_7180_0000,"(72, 290, 320)",uint16
amos_7181_0000,"(72, 290, 320)",uint16
amos_7182_0000,"(72, 290, 320)",uint16
amos_7199_0000,"(24, 640, 640)",uint16
amos_7201_0000,"(24, 576, 576)",uint8
amos_7202_0000,"(24, 256, 256)",uint8
amos_7203_0000,"(24, 256, 256)",uint8
amos_7204_0000,"(24, 288, 288)",uint8
amos_7205_0000,"(28, 320, 320)",uint16
amos_7206_0000,"(28, 320, 320)",uint16
amos_7207_0000,"(72, 290, 320)",uint16
amos_7208_0000,"(72, 290, 320)",uint16
amos_7209_0000,"(72, 290, 320)",uint16
amos_7210_0000,"(24, 256, 256)",uint8
amos_7211_0000,"(24, 224, 224)",uint8
amos_7214_0000,"(24, 256, 256)",uint8
amos_7216_0000,"(25, 224, 224)",uint8
amos_7217_0000,"(24, 256, 256)",uint8
amos_7218_0000,"(24, 288, 288)",uint8
amos_7219_0000,"(24, 352, 352)",uint8
amos_7220_0000,"(24, 320, 320)",uint8
amos_7222_0000,"(32, 1024, 1024)",uint8
amos_7223_0000,"(32, 1024, 1024)",uint8
amos_7224_0000,"(32, 1024, 1024)",uint8
amos_7225_0000,"(32, 1024, 1024)",uint8
amos_7227_0000,"(32, 512, 512)",uint8
amos_7228_0000,"(72, 240, 320)",uint16
amos_7229_0000,"(72, 240, 320)",uint16
amos_7230_0000,"(72, 240, 320)",uint16
amos_7231_0000,"(72, 240, 320)",uint16
amos_7232_0000,"(32, 512, 512)",uint8
